ID_SF,Spé_A,Spé_B,Spé_C,PT1Spé_A,PT1Spé_B,PT1Spé_C,PT1Anglais,PT2Spé_A,PT2Spé_B,PT2Spé_C,PT2Anglais,PT3Spé_A,PT3Spé_B,PT3Spé_C,PT3Anglais,PMoyenne,PSpé_A,PSpé_B,PMaths_Compl.,TT1Spé_A,TT1Spé_B,TT1Anglais,TT1Maths_Compl.,TT1Maths_Expertes,TT2Spé_A,TT2Spé_B,TT2Anglais,TT2Maths_Compl.,TT2Maths_Expertes,Tmoyenne,Ecrit_Français,Oral_Français,Moyenne_Bac_Français,Spé_abandonnée,Spé_abandonnée_note,Anglais1ère_Eval.,Anglais2ème_Eval.,Anglais3ème_Eval.,Moyenne_Bac,Bonus_Scientifique,Note_bac,complet_/_incomplet,Grand_Classé,Etape_de_jury,Précisions_Dossier,Note_Profil_Ecole,Vœux_EPITA,Vœux_ESME,Vœux_IPSA,Vœux_Sup'Biotech,Ecole_d'Oral,Campus_d'Oral,Jury_Advance,Méthode_de_travail,Autonomie,Engagement_citoyen,Capacité_à_s'investir,Niveau_de_la_classe,Avis_sur_la_capacité_à_réussir,Autres_éléments
0010800002swcN1AAI,Mathématiques,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,9.35,6.96,8.63,3.91,8.6,10.81,9.77,6.27,,,,,8.234,Mathématiques,Physique-Chimie,Non,12.91,10.01,4.17,,,9.25,6.61,7.67,,,8.665,5,5,5,Sciences_de_la_vie_et_de_la_Terre,10,6,,,7.857,Oui,8.293,Complet,Non,Validé,,2,Lyon,Lyon,,Lyon,EPITA_/_ESME_/_IPSA_/_Sup'Biotech,Lyon,Indifférencié,Assez_satisfaisante,Assez_satisfaisante,Non,Assez_satisfaisante,Très_bon,Assez_satisfaisante,
0010800002swcPUAAY,Mathématiques,Sciences_economiques_et_sociales,"Histoire-Géographie,_Géopolitique_et_Science_politiques",6.25,7,9.8,11.11,,,,,,,,,8.369,Mathématiques,Sciences_economiques_et_sociales,Non,4.4,8.8,9.31,,,,,,,,7.339,7,7,7,"Histoire-Géographie,_Géopolitique_et_Science_politiques",10,9.5,,,8.714,Non,6.449,Complet,Non,Validé,,2,Cycle_anglophone;_Paris;_Rennes,Paris;_Cycle_anglophone,Paris,Cycle_anglophone;_Paris,EPITA,Rennes,IPSA,Peu_démontrée,Peu_démontrée,Oui,Assez_satisfaisante,Bon,Peu_démontrée,
0010800002swbmIAAQ,Mathématiques,Physique-Chimie,"Langues,_littératures_et_cultures_étrangères_et_régionales",12.78,10.8,15.29,13.85,11.75,6.9,10.08,14.67,,,,,11.865,Mathématiques,Physique-Chimie,Non,7.17,10,14.03,,6,12.4,6.5,15.03,,,10.521,10,10,10,"Langues,_littératures_et_cultures_étrangères_et_régionales",13,20,,,11.714,Oui,11.282,Complet,Non,Validé,,3,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,EPITA,Paris,EPITA,Satisfaisante,Satisfaisante,Non,Assez_satisfaisante,Bon,Assez_satisfaisante,
0010800002swbHaAAI,Mathématiques,Physique-Chimie,Numérique_et_Sciences_Informatiques,11,10,14,11.68,,,,,,,,,11.669,Mathématiques,Physique-Chimie,Non,9.9,8.94,13.67,,,10.5,8.43,13.33,,,10.549,9,9,9,Numérique_et_Sciences_Informatiques,12,16.5,,,10.714,Oui,10.935,Complet,Non,Validé,,3,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,ESME,Paris,Indifférencié,Assez_satisfaisante,Assez_satisfaisante,Non,Assez_satisfaisante,Assez_bon,Assez_satisfaisante,Parcours_russophone_CNED
0010800002swbxvAAA,Mathématiques,Physique-Chimie,Numérique_et_Sciences_Informatiques,6.67,7.42,13,12,7.5,9.12,9.22,9.89,,,,,9.246,Mathématiques,Physique-Chimie,Non,8.74,10.8,12.2,,,10.46,10,13.67,,,10.8,9,9,9,Numérique_et_Sciences_Informatiques,12,13.5,,,10.714,Oui,10.308,Complet,Non,Validé,,3,Cycle_anglophone;_Paris,Paris;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris,IPSA,Paris,Indifférencié,Assez_satisfaisante,Assez_satisfaisante,Non,Assez_satisfaisante,Bon,Satisfaisante,"Élève_encouragé_par_le_conseil_de_classe,_présentant_un_bulletin_équilibré_à_dominante_scientifique."
0010800002swav4AAA,Physique-Chimie,Sciences_de_l'ingénieur_et_sciences_physiques,Mathématiques,5.21,14,8,10.86,,13.5,11.9,14.12,,,,,10.976,Physique-Chimie,Sciences_de_l'ingénieur_et_sciences_physiques,Non,10,10.68,7.5,,,10,11.86,8.5,,,9.916,10,10,10,Mathématiques,10,,,,10,Oui,10.259,Complet,Non,Validé,,3,Paris,Paris,Paris,Paris,IPSA,Paris,Indifférencié,Assez_satisfaisante,Assez_satisfaisante,Non,Assez_satisfaisante,Moyen,Assez_satisfaisante,
0010800002swaomAAA,Mathématiques,Physique-Chimie,Numérique_et_Sciences_Informatiques,11,9,12,12,12,13,8,11,,,,,10.967,Mathématiques,Physique-Chimie,Non,6.9,6.09,7.59,,9.8,9.8,6.45,12.36,,9.8,8.037,13,13,13,Numérique_et_Sciences_Informatiques,10,8,,,11.286,Oui,9.891,Complet,Non,Validé,,3,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,IPSA,Paris,IPSA,Peu_démontrée,Satisfaisante,Non,Assez_satisfaisante,Très_bon,Assez_satisfaisante,La_classe_dans_laquelle_se_trouve_cet_élève_a_un_excellent_niveau.-Cet_élève_a_suivi_avec_assiduité_le_module_CPGE_de_l'établissement:_une_heure_de_physique_et_une_heure_de_mathématiques_hebdomadaires_sur_des_thèmes_hors_programme.
0010800002swb2QAAQ,Mathématiques,Physique-Chimie,Sciences_economiques_et_sociales,8.5,7.66,12.5,10.35,8.7,12.44,10.75,13.11,,,,,10.419,Mathématiques,Physique-Chimie,Non,8.67,7,13.75,,5.83,8.68,6.5,13.25,,0.7,9.291,6,6,6,Sciences_economiques_et_sociales,12,13.5,,,9.429,Oui,9.671,Complet,Non,Validé,,3,Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Toulouse,Lyon,EPITA_/_ESME_/_IPSA_/_Sup'Biotech,Lyon,Indifférencié,Assez_satisfaisante,Satisfaisante,Non,Assez_satisfaisante,Très_bon,Peu_démontrée,
0010800002swb0YAAQ,Mathématiques,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,10,8,10,13,12,8,7,10,,,,,9.633,Mathématiques,Physique-Chimie,Non,7.9,7.95,11.07,,8.2,8.3,4.9,10.8,,13.2,8.264,10,10,10,Sciences_de_la_vie_et_de_la_Terre,9,12,,,9.429,Oui,9.024,Complet,Non,Validé,,3,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,EPITA,Paris,Indifférencié,Assez_satisfaisante,Satisfaisante,Non,Peu_démontrée,Très_bon,Assez_satisfaisante,La_classe_dans_laquelle_se_trouve_cet_élève_a_un_excellent_niveau.-Cet_élève_a_suivi_avec_assiduité_le_module_CPGE_de_l'établissement:_une_heure_de_physique_et_une_heure_de_mathématiques_hebdomadaires_sur_des_thèmes_hors_programme.
0010800002swc38AAA,Mathématiques,Sciences_de_l'ingénieur_et_sciences_physiques,Physique-Chimie,3.6,6,7.5,15.55,2.2,9.5,5,13.51,,,,,7.413,Mathématiques,Sciences_de_l'ingénieur_et_sciences_physiques,Non,10.14,9.75,14.29,,,5.75,10.75,16.5,,,10.815,9,9,9,Physique-Chimie,7,14,,,7.857,Oui,8.907,Complet,Non,Validé,,3,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,EPITA,Paris,Indifférencié,,,,,Moyen,Peu_démontrée,
0010800002swcMPAAY,Mathématiques,Sciences_economiques_et_sociales,Sciences_de_la_vie_et_de_la_Terre,8.3,11.4,10,11.9,,,,,,,,,10.3,Mathématiques,Sciences_economiques_et_sociales,Non,8.5,10.8,15.5,,,10.3,9.8,12,,,10.914,8,8,8,Sciences_de_la_vie_et_de_la_Terre,13,14.5,,,10.857,Non,8.57,Complet,Non,Validé,,3,Strasbourg;_Rennes,Paris;_Bordeaux,Paris,Paris,EPITA,Strasbourg,Indifférencié,Assez_satisfaisante,Assez_satisfaisante,Oui,Satisfaisante,Bon,Assez_satisfaisante,
0010800002swbQEAAY,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,Mathématiques,11,8.72,10.33,9.02,7.1,11.2,6.86,10.5,,,,,9.313,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,Oui,4.44,7.35,10.54,5.33,,5.76,8.7,8.48,11,,7.366,9,9,9,Mathématiques,9,13,,,9,Oui,8.44,Complet,Non,Validé,,3,Cycle_anglophone;_Paris,Paris;_Cycle_anglophone,Paris;_Cycle_anglophone,Cycle_anglophone;_Paris,ESME,Paris,Indifférencié,Peu_démontrée,Peu_démontrée,Non,Peu_démontrée,Assez_bon,Assez_satisfaisante,
0010800002swbKUAAY,Mathématiques,Numérique_et_Sciences_Informatiques,"Langues,_littératures_et_cultures_étrangères_et_régionales",4,9.6,10.3,10.9,5,12.6,10.6,10.8,,,,,9.117,Mathématiques,Numérique_et_Sciences_Informatiques,Non,,,13.5,,,2.3,3.4,11.9,,,7.071,7,7,7,"Langues,_littératures_et_cultures_étrangères_et_régionales",11,16,,,9.286,Oui,8.349,Complet,Non,Validé,,3,Paris,Paris,Paris,Paris,ESME,Paris,Indifférencié,Assez_satisfaisante,Assez_satisfaisante,Non,Assez_satisfaisante,Très_bon,Assez_satisfaisante,
0010800002swcI2AAI,Mathématiques,Sciences_economiques_et_sociales,"Histoire-Géographie,_Géopolitique_et_Science_politiques",9.7,8.8,13.7,8,10.9,11.3,11.5,8.3,,,,,10.417,Mathématiques,Sciences_economiques_et_sociales,Non,3.1,12.3,12,,,3,11.5,14,,,8.982,9,9,9,"Histoire-Géographie,_Géopolitique_et_Science_politiques",13,6.5,,,11.286,Non,8.083,Complet,Non,Validé,,3,Paris,Paris,Paris,Paris,ESME,Paris,ESME,Satisfaisante,Satisfaisante,Oui,Satisfaisante,Assez_bon,Assez_satisfaisante,Elève_motivé_par_son_projet_professionnel
0010800002swcYFAAY,Mathématiques,Physique-Chimie,Numérique_et_Sciences_Informatiques,7,8.8,6.2,7,10.9,8.5,8,14.2,,,,,8.707,Mathématiques,Physique-Chimie,Non,6.7,6,9.6,,,2.9,6,0,,,5.236,8,8,8,Numérique_et_Sciences_Informatiques,8,16.5,,,8,Oui,7.107,Complet,Non,Validé,,3,Cycle_anglophone;_Paris,Paris;_Cycle_anglophone,Paris;_Cycle_anglophone,Cycle_anglophone;_Paris,IPSA,Paris,IPSA,Peu_démontrée,Peu_démontrée,Oui,Peu_démontrée,Bon,Peu_démontrée,
0010800002swblXAAQ,Mathématiques,Physique-Chimie,"Histoire-Géographie,_Géopolitique_et_Science_politiques",6,7.8,6.3,8.4,4,11.9,6,6,,,,,7.04,Mathématiques,Physique-Chimie,Non,2.5,3.17,12.43,,,,,,,,5.452,9,11,9.667,"Histoire-Géographie,_Géopolitique_et_Science_politiques",7,,,,8.143,Oui,6.736,Complet,Non,Validé,,3,Cycle_anglophone;_Paris,Paris;_Cycle_anglophone,Paris;_Cycle_anglophone,Cycle_anglophone;_Paris,ESME,Paris,ESME,Peu_démontrée,Assez_satisfaisante,Non,Peu_démontrée,Très_bon,Satisfaisante,"Investissement_insuffisant_au_1er_semestre,_avec_une_mise_au_travail_irrégulière._Des_efforts_ont_cependant_été_observés_en_début_de_2e_semestre."
0010800002swaopAAA,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,Mathématiques,5.5,9.5,2.44,7,9.1,6,2.25,9.33,,,,,6.272,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,Oui,7.03,6,12,,,4.57,5.5,7.25,2.4,,6.825,6,6,6,Mathématiques,3,10,,,4.286,Oui,5.897,Complet,Non,Validé,,3,Paris,Paris,Paris,Paris,EPITA,Paris,Indifférencié,Peu_démontrée,Peu_démontrée,Non,Peu_démontrée,Bon,Peu_démontrée,
0010800002swavMAAQ,Mathématiques,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,5.86,7.5,9.67,12.67,4.42,6.75,5.44,9.33,,,,,7.485,Mathématiques,Physique-Chimie,Non,1.68,0.83,6.59,,,,,,,,2.71,9,9,9,Sciences_de_la_vie_et_de_la_Terre,8,6.5,,,8.429,Oui,5.858,Complet,Non,Validé,,3,Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon,Paris;_Toulouse,Paris;_Lyon,IPSA,Paris,IPSA,Peu_démontrée,Peu_démontrée,Non,Peu_démontrée,Assez_bon,Assez_satisfaisante,
0010800002swawsAAA,Mathématiques,Physique-Chimie,Numérique_et_Sciences_Informatiques,10.6,14.2,16,10.3,15.8,13.2,17,11.4,,,,,13.743,Mathématiques,Physique-Chimie,Non,10,8.5,12.3,,10,14,14.3,12.3,,16,11.864,13,13,13,Numérique_et_Sciences_Informatiques,17,8.5,,,15.286,Oui,13.454,Complet,Non,Validé,,4,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,EPITA,Paris,EPITA,Assez_satisfaisante,Assez_satisfaisante,Non,Assez_satisfaisante,Bon,Assez_satisfaisante,Elève_qui_a_progressé_tout_au_long_de_l'année.
0010800002swaYiAAI,Mathématiques,Numérique_et_Sciences_Informatiques,Sciences_economiques_et_sociales,10.9,11.3,12.9,17.7,13.9,10.8,12,11,,,,,12.443,Mathématiques,Numérique_et_Sciences_Informatiques,Non,10.6,12,8,,,10.2,12.7,9.5,,,10.659,12,12,12,Sciences_economiques_et_sociales,13,10,,,12.571,Oui,11.768,Complet,Non,Validé,,4,Lyon,Paris;_Lyon,,Paris;_Lyon,ESME,Paris,Indifférencié,Assez_satisfaisante,Assez_satisfaisante,Non,Peu_démontrée,Bon,Assez_satisfaisante,Un_élève_qui_n'aura_cessé_de_fournir_des_efforts_intenses_pour_pallier_ses_difficultés._Une_bonne_volonté_admirable_qui_l'aidera_à_aborder_les_études_supérieures_avec_force.
0010800002swbpxAAA,Mathématiques,Physique-Chimie,Numérique_et_Sciences_Informatiques,12.78,10.9,12.07,8.64,,,,,,,,,11.261,Mathématiques,Physique-Chimie,Non,9.45,6.78,15.09,,,,,,,,10.017,12,12,12,Numérique_et_Sciences_Informatiques,13,17,,,12.571,Oui,11.156,Complet,Non,Validé,,4,Cycle_anglophone;_Paris;_Lyon,Paris;_Lille;_Lyon;_Cycle_anglophone,Paris;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,ESME,Paris,Indifférencié,Assez_satisfaisante,Satisfaisante,Non,Assez_satisfaisante,Très_bon,Assez_satisfaisante,
0010800002swazBAAQ,Mathématiques,Numérique_et_Sciences_Informatiques,Sciences_de_l'ingénieur,10.28,11.31,11.5,7.11,9.88,13.79,10.7,7.19,,,,,10.425,Mathématiques,Numérique_et_Sciences_Informatiques,Non,9.5,11.61,7.92,,,9.5,14.81,8.06,,,10.437,9,9,9,Sciences_de_l'ingénieur,12,6,,,10.714,Oui,10.517,Complet,Non,Validé,,4,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,EPITA,Rennes,EPITA,Assez_satisfaisante,Assez_satisfaisante,Oui,Satisfaisante,Assez_bon,Assez_satisfaisante,Bon_état_d'esprit_tout_au_long_de_l'année._Elève_volontaire_et_investi.
0010800002swb2JAAQ,Mathématiques,Physique-Chimie,Numérique_et_Sciences_Informatiques,12.5,12.8,10,11.45,14.5,13.13,7,12.25,,,,,11.694,Mathématiques,Physique-Chimie,Non,9.5,10.45,14.07,,,9,12.35,11.84,,,11.042,7,7,7,Numérique_et_Sciences_Informatiques,9,14.5,,,8.143,Oui,10.368,Complet,Non,Validé,,4,Cycle_anglophone;_Paris,Paris;_Cycle_anglophone,Paris;_Cycle_anglophone,Cycle_anglophone;_Paris,ESME,Paris,IPSA,Assez_satisfaisante,Assez_satisfaisante,Non,Peu_démontrée,Bon,Satisfaisante,
0010800002swaavAAA,Mathématiques,Physique-Chimie,Sciences_de_l'ingénieur,8.14,6.62,14.2,7.5,10.81,8.67,9.33,12,,,,,9.653,Mathématiques,Physique-Chimie,Non,5.5,10.3,16,,,9.1,10.36,10.4,,,10.011,10,10,10,Sciences_de_l'ingénieur,12,15,,,11.143,Oui,10.243,Complet,Non,Validé,,4,Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon,Paris;_Toulouse,Paris;_Lyon,EPITA_/_ESME_/_IPSA_/_Sup'Biotech,Lyon,IPSA,Assez_satisfaisante,Satisfaisante,Non,Assez_satisfaisante,Bon,Satisfaisante,Ensemble_convenable._Élève_sérieux._Quelques_difficultés_à_l'écrit_et_parfois_un_manque_d'approfondissement.
0010800002swcePAAQ,Mathématiques,Sciences_de_la_vie_et_de_la_Terre,Sciences_economiques_et_sociales,6.4,10.4,11.33,12.92,7.53,11.3,8,15.04,,,,,10.124,Mathématiques,Sciences_de_la_vie_et_de_la_Terre,Non,7.6,11.5,14.39,,,8.78,11.84,11.33,,,10.729,9,9,9,Sciences_economiques_et_sociales,10,17.5,,,9.571,Oui,10.2,Complet,Non,Validé,,4,Cycle_anglophone;_Paris,Paris;_Cycle_anglophone,Paris;_Cycle_anglophone,Cycle_anglophone;_Paris,Sup'Biotech,Paris,Indifférencié,Assez_satisfaisante,Satisfaisante,Non,Satisfaisante,Très_bon,Peu_démontrée,
0010800002swateAAA,Mathématiques,Sciences_de_l'ingénieur_et_sciences_physiques,Physique-Chimie,10.5,9.5,8.5,9.9,,,,,,,,,9.58,Mathématiques,Sciences_de_l'ingénieur_et_sciences_physiques,Non,8.62,11.6,12.11,,,,,,,,10.655,8,8,8,Physique-Chimie,9,5,,,8.571,Oui,9.707,Complet,Non,Validé,,4,Paris,Paris,,Paris,ESME,Paris,EPITA,Assez_satisfaisante,Assez_satisfaisante,Non,Assez_satisfaisante,Très_bon,Assez_satisfaisante,Elève_soucieux_de_bien_faire.
